2022-02-22 09:44:32,322 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:40)     - cal01:java.util.GregorianCalendar[time=1645490672278,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=44,SECOND=32,MILLISECOND=278,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:44:32,322 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:42)     - cel01:495053715
2022-02-22 09:44:32,322 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:43)     - cel02:1922154895
2022-02-22 09:46:23,477 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:39)     - cal01:java.util.GregorianCalendar[time=1645490783429,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=23,MILLISECOND=429,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:23,478 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:40)     - cal01:java.util.GregorianCalendar[time=1645490783438,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=23,MILLISECOND=438,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:23,478 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:43)     - cel01:495053715
2022-02-22 09:46:23,478 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:44)     - cel02:1922154895
2022-02-22 09:46:32,795 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:39)     - cal01:java.util.GregorianCalendar[time=1645490792747,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=32,MILLISECOND=747,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:32,796 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:40)     - cal01:java.util.GregorianCalendar[time=1645490792756,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=32,MILLISECOND=756,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:32,796 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:43)     - cel01:495053715
2022-02-22 09:46:32,796 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:44)     - cel02:1922154895
2022-02-22 09:46:33,517 DEBUG [main] comn.LoggerManager (CalendarEx01Main.java:39)     - cal01:java.util.GregorianCalendar[time=1645490793470,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=33,MILLISECOND=470,ZONE_OFFSET=32400000,DST_OFFSET=0]
